Lambda,Average Penalty,Standard Deviation,Average Reward
2,-0.0134184705,0.0060603973,-4.634309442061931
3,-0.012070593,0.006092035,-6.610597326373681
4,-0.015787262,0.017395446,-9.36916459808126
