iter,ot_cost,elapsed_time
0,8.282153,42.8326141834259
1,9.028379,59.655128479003906
2,9.522602,60.34066843986511
3,9.921993,61.02825570106506
4,10.443364,61.71271061897278
5,7.150342,62.39595603942871
6,10.441843,63.086148500442505
7,11.590625,63.76911401748657
8,11.922565,64.45011043548584
9,12.194248,65.13122510910034
10,12.3608055,89.9205493927002
11,11.865219,90.61050462722778
12,5.688112,91.29821372032166
13,11.149811,92.0040545463562
14,10.783155,92.68849325180054
15,10.078688,93.38044810295105
16,9.104944,94.06747722625732
17,7.1231637,94.75558352470398
18,4.2090564,95.44666147232056
19,-28.5684,96.13104295730591
20,-2.2743587,125.05273270606995
21,-3.4336562,125.75274109840393
22,-6.2050934,126.43584990501404
23,-8.283992,127.11917233467102
24,-11.015848,127.8017897605896
25,-14.5450325,128.49282550811768
26,-13.668914,129.17960810661316
27,-14.97923,129.86422777175903
28,-16.614826,130.54902958869934
29,-17.054325,131.23264575004578
30,-78.23253,132.58838033676147
31,-20.99815,133.27474236488342
32,-22.699272,133.9617989063263
33,-22.755253,134.64431023597717
34,-23.432264,135.33085703849792
35,-21.965933,136.01641058921814
36,-19.894089,136.7037558555603
37,-24.54632,137.3909411430359
38,-28.246984,138.0738925933838
39,-16.981583,138.7685022354126
40,-15.130931,140.13355255126953
41,-15.787884,140.83064365386963
42,-14.542345,141.52798438072205
43,-15.155354,142.2106294631958
44,-10.640322,142.89320635795593
45,-9.28624,143.5758330821991
46,-11.257614,144.26901698112488
47,-7.4779577,144.94995188713074
48,-6.049377,145.63150548934937
49,-4.3644958,146.31345105171204
50,-3.8240938,147.67122793197632
51,-4.265427,148.37523651123047
52,-3.506465,149.0574243068695
53,-2.8112319,149.73934149742126
54,-2.5755222,150.43174362182617
55,-2.3127382,151.1214849948883
56,-1.9946246,151.8036756515503
57,-1.8663427,152.49115562438965
58,-1.694072,153.17295932769775
59,-1.5241604,153.85473370552063
60,-1.3884382,155.21827054023743
61,-1.3459966,155.90165257453918
62,-1.3571386,156.5859875679016
63,-1.356591,157.2718048095703
64,-1.3582354,157.96431040763855
65,-1.3162994,158.65456247329712
66,-1.3170891,159.34711909294128
67,-1.2202301,160.0434272289276
68,-1.2689749,160.73343968391418
69,-1.1351136,161.42225289344788
70,-1.120246,162.7877995967865
71,-1.1481658,163.47707605361938
72,-1.1377685,164.1618368625641
73,-1.1078341,164.8446547985077
74,-1.0909394,165.5272741317749
75,-1.1736796,166.21035242080688
76,-1.1724882,166.90292239189148
77,-1.2971281,167.59274411201477
78,-1.299396,168.2769193649292
79,-1.3109027,168.96164345741272
80,-1.2243724,170.31726813316345
81,-1.1921742,171.00494813919067
82,-1.1484313,171.68920469284058
83,-1.1234727,172.37998270988464
84,-1.0562208,173.06468081474304
85,-1.022889,173.75107550621033
86,-0.97201717,174.43384218215942
87,-0.92174345,175.12087678909302
88,-0.88739514,175.80306768417358
89,-0.8367621,176.48869800567627
90,-0.78885686,177.84504389762878
91,-0.74555933,178.52823185920715
92,-0.6800479,179.21197724342346
93,-0.6168916,179.89535903930664
94,-0.5458136,180.57894706726074
95,-0.47750252,181.2639684677124
96,-0.41225702,181.95264434814453
97,-0.3293786,182.6348385810852
98,-0.27217793,183.31799364089966
99,-0.22492498,184.00563049316406
100,-0.19322592,185.3730444908142
101,-0.17591637,186.06775379180908
102,-0.1309942,186.7555603981018
103,-0.10532433,187.45423936843872
104,-0.057678998,188.1430766582489
105,-0.024750233,188.83479690551758
106,0.007530391,189.52079606056213
107,0.027383566,190.20439386367798
108,0.014783323,190.90034699440002
109,0.011889815,191.59072923660278
110,-0.01849103,192.96525239944458
111,-0.03689933,193.65585088729858
112,-0.030799627,194.33852648735046
113,-0.03223002,195.0243947505951
114,-0.020370841,195.71613955497742
115,0.045802712,196.40076994895935
116,0.05461073,197.08417105674744
117,0.047269225,197.76773619651794
118,0.054985523,198.4534454345703
119,0.031964898,199.13512420654297
120,0.050996542,200.49330639839172
121,0.0574764,201.17615604400635
122,0.08212292,201.8586437702179
123,0.096998096,202.5414879322052
124,0.11729896,203.22381973266602
125,0.12023342,203.9078884124756
126,0.12606883,204.59398126602173
127,0.132761,205.27592968940735
128,0.1610694,205.95994210243225
129,0.167292,206.64268398284912
130,0.1983167,208.0054590702057
131,0.19962037,208.70528292655945
132,0.21416664,209.3925416469574
133,0.22327042,210.08561372756958
134,0.23571992,210.7703778743744
135,0.2412113,211.45754432678223
136,0.26092076,212.14094710350037
137,0.2591052,212.8231065273285
138,0.26769972,213.51799511909485
139,0.2698617,214.20003080368042
140,0.26067245,215.56081461906433
141,0.27567244,216.24601459503174
142,0.28803968,216.94141364097595
143,0.2892455,217.62925362586975
144,0.30726826,218.31173706054688
145,0.31064355,219.00377082824707
146,0.32248116,219.68672561645508
147,0.31323397,220.37299942970276
148,0.31632972,221.05931663513184
149,0.31836748,221.74134373664856
150,0.3154589,223.100891828537
151,0.31819546,223.80318093299866
152,0.32633996,224.4913980960846
153,0.26685202,225.17569828033447
154,0.28979504,225.8676052093506
155,0.29689622,226.54954314231873
156,0.3314891,227.23417901992798
157,0.33316576,227.91864919662476
158,0.3515166,228.60918164253235
159,0.37768745,229.30166172981262
160,0.3582418,230.68335962295532
161,0.35092497,231.36770153045654
162,0.36926186,232.05467557907104
163,0.40100443,232.73699593544006
164,0.41697383,233.41922163963318
165,0.4264549,234.104820728302
166,0.45031464,234.79275012016296
167,0.461632,235.4861867427826
168,0.46320283,236.17341899871826
169,0.42578793,236.85385513305664
170,0.47031307,238.21889686584473
171,0.46841812,238.90235710144043
172,0.46938646,239.58555126190186
173,0.4575169,240.27458596229553
174,0.4757712,240.9640953540802
175,0.48146844,241.65746784210205
176,0.48473608,242.34240102767944
177,0.48001623,243.03000950813293
178,0.4917494,243.71188473701477
179,0.50049627,244.3939049243927
180,0.50946045,245.75534868240356
181,0.51062286,246.4456217288971
182,0.5142338,247.1319968700409
183,0.5241877,247.81457662582397
184,0.51662016,248.50164365768433
185,0.5124947,249.18340063095093
186,0.52761126,249.8711359500885
187,0.53455853,250.55410885810852
188,0.54168785,251.2379846572876
189,0.5357709,251.92394924163818
190,0.5321176,253.2795124053955
191,0.53007054,253.96614241600037
192,0.526917,254.64807724952698
193,0.52822363,255.32998394966125
194,0.46689355,256.01884627342224
195,0.47162604,256.7015902996063
196,0.5501865,257.393568277359
197,0.2395227,258.07837986946106
198,0.5473311,258.76067304611206
199,0.5376965,259.44321846961975
200,0.5382823,260.79963850975037
201,0.54826224,261.4981667995453
202,0.47674727,262.18601179122925
203,0.5134455,262.8696928024292
204,0.5067713,263.55957221984863
205,0.54792523,264.25196862220764
206,0.54490936,264.94156098365784
207,0.5508566,265.62964129447937
208,0.5489249,266.319855928421
209,0.5590769,267.0070550441742
210,0.4650954,268.3776695728302
211,0.44919372,269.06797099113464
212,0.4544301,269.75088334083557
213,0.4588493,270.43261647224426
214,0.5229528,271.11903834342957
215,0.54939044,271.8074095249176
216,0.5355723,272.50200295448303
217,0.5369599,273.1954300403595
218,0.54604435,273.88660860061646
219,0.58497417,274.5761442184448
220,0.5756241,275.93883061408997
221,0.56956506,276.6269335746765
222,0.5874517,277.3101522922516
223,0.57427776,277.9923791885376
224,0.5734035,278.6805431842804
225,0.5770792,279.37360548973083
226,0.53264666,280.0564193725586
227,0.5216012,280.73899579048157
228,0.12292361,281.4211456775665
229,0.5648545,282.1091306209564
230,0.56769216,283.46989583969116
231,0.57086146,284.16119623184204
232,0.5536016,284.84356570243835
233,0.56918764,285.52610301971436
234,0.57607865,286.2094805240631
235,0.5792817,286.89098858833313
236,0.5526333,287.5728225708008
237,0.52630186,288.2547433376312
238,0.5274972,288.9400725364685
239,0.5246217,289.6250321865082
240,0.5275134,290.9791696071625
241,0.5516621,291.66171860694885
242,0.56987,292.3486952781677
243,0.5663831,293.03023052215576
244,0.5651951,293.71821308135986
245,0.566682,294.40451550483704
246,0.5686009,295.08682131767273
247,0.56710565,295.7788984775543
248,0.54556966,296.46017813682556
249,0.5493084,297.1409683227539
250,0.56985044,298.49960923194885
251,0.29582846,299.2045772075653
252,0.55441856,299.89417481422424
253,0.5572361,300.58870339393616
254,0.5103611,301.2719259262085
255,0.56055,301.9535596370697
256,0.5742941,302.6386134624481
257,0.5735215,303.320494890213
258,0.562408,304.00268292427063
259,0.5640732,304.6877191066742
260,0.5550612,306.0517683029175
261,0.54664516,306.73417377471924
262,0.54783344,307.41697454452515
263,0.53890514,308.1068289279938
