Lambda,Average Penalty,Standard Deviation,Average Reward
0.1,-0.04444185892740885,0.0,116.62992775440216
0.2,-0.04106352584702628,0.0,114.7465346455574
0.3,-0.03973518099103655,0.0,113.06695300340652
0.4,-0.03043900902678327,0.0,112.25613701343536
0.6,-0.02407862209692234,0.0,110.88118696212769
0.7,-0.023819446563720703,0.0,109.86017364263535
0.8,-0.023289763345950988,0.0,108.95257073640823
0.9,-0.022870754323354583,0.0,108.27423423528671
