Lambda,Average Penalty,Standard Deviation,Average Reward
2,-0.016761363,0.0075711943,-4.930757418466965
3,-0.011183051,0.004908675,-6.509070402663201
4,-0.010787251,0.0044964585,-7.196714804973453
