Lambda,Average Penalty,Penalty StdDev,Average Reward
2,-0.015334472,0.0012703356,-4.841387749665009
3,-0.010549979,0.00064653787,-6.356490687984041
4,-0.010217972,0.001629652,-6.924341959338635
