Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06587375371042306,0.0001842407427041138,115.68105593919753
0.1,-0.04698628928502544,0.009286086375054065,-32.86968541622162
0.2,-0.045625554263234155,0.009176516914563216,-14.251650496721268
0.3,-0.04521522600991995,0.009321698901268424,4.075322011709213
0.4,-0.04048772270728378,0.003918037183419887,75.38763670444489
0.5,-0.02992409088050214,0.002567389488334882,91.06361174464226
0.6,-0.029153034209414147,0.0019896740268933533,89.81827888965606
0.7,-0.02842768955954499,0.0017092895057247298,88.71110936999321
0.8,-0.028055486843476786,0.0017407901941498556,91.67660070896147
0.9,-0.02685340737559889,0.0014599950844143695,70.43414401888847
1.0,-0.02846115469347696,0.0010238410136088195,72.59084593772889
