Lambda,Average Penalty,Standard Deviation,Average Reward
0.1,-0.04139786308020746,0.0006630106209733375,-86.07195551395417
0.2,-0.03979819947795733,0.0008850611070478141,-86.7684778869152
0.3,-0.04019647284972333,0.0013445229323030931,-68.10422914624215
0.4,-0.03729168928596179,0.0015288075901324796,111.60183312892914
0.6,-0.03501981581276183,0.001798645380138871,108.62369089126587
0.7,-0.03458102628554434,0.0017051500362115254,107.02009888887406
0.8,-0.03411569514838185,0.0011596300092392912,105.71592717170715
0.9,-0.03321393128492808,0.001131819639930136,104.65178920030594
