Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06614711608360438,0.0011753331189776888,119.4260334432125
0.1,-0.04624904282867008,0.001327316426075948,36.645825791358945
0.2,-0.04469147257160881,0.0013486348868397618,74.78355630040168
0.3,-0.04271489273528214,0.001774404891933443,92.91470301151276
0.4,-0.03912603010076386,0.0013339963624585535,111.41610841155052
0.5,-0.025813107738143614,0.003122830417701444,111.39653193354607
0.6,-0.022972476210966545,0.004378428113648928,110.41611497998238
0.7,-0.022904054018454377,0.004641173103316994,109.51021162867546
0.8,-0.020976599959015747,0.0019971869971882345,109.02372956871986
0.9,-0.019872116444210493,0.0008463862640681575,108.31515331268311
1.0,-0.023483445739898474,0.0009926471949783862,106.47910382151603
