Lambda,Average Penalty,Standard Deviation,Average Reward
0.1,-0.04082319280311259,0.0013655718771490247,-85.59501147270203
0.2,-0.03931124784757802,0.0011236093156477174,-66.62761288285256
0.3,-0.039218323459339705,0.0013561990039083808,-7.628253495693206
0.4,-0.03751960582912307,0.0014336303648279896,-8.907521504163743
0.6,-0.023359111871247208,0.0014943210323042093,110.53257427215576
0.7,-0.023593044139090035,0.0012062395983006501,109.73950006365776
0.8,-0.023568881714568234,0.0014123131085310233,108.93119533658027
0.9,-0.023378095549825572,0.001316041904042449,107.73458085656166
