Lambda,Average Penalty,Standard Deviation,Average Reward
0.1,-0.03773964125651171,0.0015408651731592506,-87.12012709379196
0.2,-0.03595213523101075,0.0008725807889875687,-88.24512035250663
0.3,-0.03534224164712455,0.0013125176588653486,-89.71500759720803
0.4,-0.034657339010666054,0.0015860349752344456,-90.4713917851448
0.6,-0.024662681420648765,0.0010971197006291143,110.98478026390076
0.7,-0.025577960634955692,0.00096139361625952,109.71590460538864
0.8,-0.025152770064645856,0.0009137347091147539,108.38632089495658
0.9,-0.026628240289476475,0.0012836443395973915,46.79226623177529
