iter,ot_cost,elapsed_time
0,7.7918653,50.62511110305786
1,9.140684,64.40801429748535
2,9.603094,65.09459376335144
3,10.069106,65.78168725967407
4,10.529743,66.46668410301208
5,10.922095,67.14964389801025
6,11.3242855,67.83227467536926
7,11.673751,68.52054977416992
8,11.993014,69.20302104949951
9,12.523836,69.88558840751648
10,12.681776,94.85925340652466
11,12.535313,95.55344891548157
12,12.409645,96.23772430419922
13,11.1143265,96.93370079994202
14,11.591731,97.63297724723816
15,11.178302,98.31789422035217
16,9.305359,99.00321626663208
17,6.329537,99.68938374519348
18,3.791068,100.37737584114075
19,1.065381,101.06251049041748
20,-1.3970771,126.74131512641907
21,-4.824788,127.43655610084534
22,-6.8904676,128.13169717788696
23,-9.568084,128.82545638084412
24,-11.994685,129.5071313381195
25,-14.51817,130.19692397117615
26,-45.685905,130.88271284103394
27,-18.864109,131.5647838115692
28,-19.969276,132.2471466064453
29,-22.112707,132.92942762374878
30,-21.932543,134.28529810905457
31,-35.670757,134.96876621246338
32,-25.398773,135.65175700187683
33,-27.178093,136.3420717716217
34,-27.057932,137.025652885437
35,-26.866873,137.7133433818817
36,-27.809853,138.3958969116211
37,-23.103195,139.07937669754028
38,-21.16521,139.76322317123413
39,-18.61111,140.4583842754364
40,-17.389637,141.82642817497253
41,-17.894657,142.50926113128662
42,-18.443409,143.1918523311615
43,-73.80828,143.87672877311707
44,-12.981404,144.5595896244049
45,-12.284206,145.24161648750305
46,-9.929695,145.93121528625488
47,-8.893812,146.61901450157166
48,-6.919042,147.3096296787262
49,-9.014211,147.9917516708374
50,-5.062998,149.35926461219788
51,-4.340895,150.0549955368042
52,-4.617165,150.73864936828613
53,-3.2735515,151.42839980125427
54,-3.128992,152.10983777046204
55,-5.104608,152.80613732337952
56,-2.3375235,153.4943187236786
57,-2.1550744,154.17935585975647
58,-1.9117924,154.86214590072632
59,-1.7831302,155.54487419128418
60,-1.694907,156.91611456871033
61,-1.5632019,157.60027933120728
62,-1.4904485,158.2922716140747
63,-1.3990865,158.9789924621582
64,-1.4564793,159.66800737380981
65,-1.4538637,160.3530991077423
66,-1.47919,161.03792071342468
67,-1.5454738,161.72545647621155
68,-1.4789252,162.41303873062134
69,-1.5839864,163.09975028038025
70,-1.5785203,164.46867895126343
71,-1.6072793,165.1561176776886
72,-1.6500201,165.8398847579956
73,-1.6095798,166.5215244293213
74,-1.6066375,167.21375632286072
75,-1.6133144,167.8952705860138
76,-1.6754868,168.5877389907837
77,-1.6162975,169.2731339931488
78,-1.5599469,169.95988297462463
79,-1.5359867,170.64588952064514
80,-1.5019546,172.00548005104065
81,-1.4971824,172.68967008590698
82,-1.4697738,173.38185024261475
83,-1.4057615,174.06395769119263
84,-1.3301723,174.74745750427246
85,-1.2908713,175.43321704864502
86,-1.2130004,176.12365531921387
87,-1.1617497,176.80561423301697
88,-1.1351049,177.49553322792053
89,-1.0610868,178.1793942451477
90,-0.9654176,179.54508113861084
91,-0.917164,180.2382891178131
92,-0.8365041,180.9240493774414
93,-0.77301335,181.60728931427002
94,-0.68688,182.28865957260132
95,-0.6011223,182.97103905677795
96,-0.5469426,183.65332221984863
97,-0.47825527,184.33532524108887
98,-0.41796273,185.01647090911865
99,-0.3451013,185.6976819038391
100,-0.29553258,187.06148195266724
101,-0.23088384,187.7692997455597
102,-0.20042872,188.45366287231445
103,-0.19333446,189.14572381973267
104,-0.15574026,189.8355929851532
105,-0.12804937,190.52072310447693
106,-0.15189183,191.20686864852905
107,-0.14596796,191.90040159225464
108,-0.13699973,192.5873670578003
109,-0.115918756,193.27022242546082
110,-0.106583,194.64698934555054
111,-0.07682657,195.3358507156372
112,-0.07197964,196.02278232574463
113,-0.054065466,196.70467472076416
114,-0.06488979,197.38700461387634
115,-0.051365018,198.0688762664795
116,-0.008752108,198.759174823761
117,0.0064617395,199.44077157974243
118,-0.010553241,200.12809109687805
119,-0.03853321,200.8192982673645
120,0.0072345734,202.18019819259644
121,0.021268725,202.86944675445557
122,0.03686464,203.5514748096466
123,0.08406699,204.2328085899353
124,0.06266332,204.9171540737152
125,0.08704758,205.59886956214905
126,0.08899748,206.28457641601562
127,0.08777189,206.96772575378418
128,0.105339766,207.64876341819763
129,0.12594318,208.3320231437683
130,0.12742782,209.69433164596558
131,0.118463635,210.3884994983673
132,0.09666991,211.07317090034485
133,0.15083504,211.7604968547821
134,0.16749728,212.44197344779968
135,0.18532896,213.12793397903442
136,0.19512308,213.81057858467102
137,0.20586169,214.498144865036
138,0.21824527,215.18037581443787
139,0.2434693,215.8622920513153
140,0.25102437,217.22045731544495
141,0.24665344,217.90826773643494
142,0.24596888,218.59298825263977
143,0.26173794,219.27585220336914
144,0.25997883,219.96593570709229
145,0.2817576,220.65810298919678
146,0.16733873,221.34478974342346
147,0.27012563,222.02600193023682
148,0.2667091,222.708336353302
149,0.28793287,223.39019799232483
150,0.29798764,224.7620551586151
151,0.27454126,225.46379470825195
152,0.291013,226.14480876922607
153,0.27412313,226.82640981674194
154,0.26417917,227.508234500885
155,0.24520433,228.1903531551361
156,0.25255293,228.87141609191895
157,0.25100702,229.55258512496948
158,0.23119384,230.23368978500366
159,0.219015,230.9207272529602
160,0.24147946,232.28151893615723
161,0.23990488,232.96708416938782
162,0.2800569,233.65522575378418
163,0.19641924,234.34538078308105
164,0.27260333,235.02742338180542
165,0.27374977,235.7101719379425
166,0.25954163,236.39595484733582
167,0.26702857,237.07751083374023
168,0.23643601,237.7605767250061
169,0.26130438,238.4421682357788
170,0.25516295,239.80168461799622
171,0.27904046,240.4940104484558
172,0.26352668,241.1760401725769
173,0.2569511,241.86250758171082
174,0.28522587,242.54983615875244
175,0.28909922,243.23269367218018
176,0.2877115,243.92374277114868
177,0.2972834,244.6078643798828
178,0.32065582,245.29008054733276
179,0.30183625,245.9769206047058
180,0.29794097,247.33103108406067
181,0.29953015,248.01762223243713
182,0.3059801,248.7016851902008
183,0.31380737,249.39000391960144
184,0.31627274,250.07198190689087
185,0.37905204,250.75401902198792
186,-0.36497867,251.4366352558136
187,0.3429997,252.1187229156494
188,0.34813857,252.80210709571838
189,0.3452946,253.48817825317383
190,0.3255378,254.84497499465942
191,0.36296546,255.53239846229553
192,0.3608173,256.21488976478577
193,0.35892534,256.89656686782837
194,0.3609841,257.5785219669342
195,0.36287928,258.2646155357361
196,0.36601663,258.9488847255707
197,0.36317873,259.62998843193054
198,0.36534846,260.3120799064636
199,0.3706509,261.00110483169556
200,0.3651229,262.3591229915619
201,0.35771465,263.0661737918854
202,0.3622725,263.7616066932678
203,0.39573193,264.4509174823761
204,0.35468614,265.14425706863403
205,0.3554796,265.84230971336365
206,0.35534453,266.5253655910492
207,0.35564458,267.21262526512146
208,0.35781503,267.8989326953888
209,0.35516727,268.5838248729706
210,0.3546034,269.9606964588165
211,0.34279358,270.6500005722046
212,0.34419942,271.3426034450531
213,0.3476628,272.03822112083435
214,0.3432455,272.72207474708557
215,0.3477038,273.41381072998047
216,0.34989417,274.1001207828522
217,0.35247838,274.78684282302856
218,0.35660005,275.4753108024597
219,0.3580681,276.16640305519104
220,0.35812616,277.5634229183197
221,0.34376955,278.24774861335754
222,0.34696364,278.9317002296448
223,0.34805954,279.6141936779022
224,0.3477794,280.3042526245117
225,0.35197973,280.9946913719177
226,0.3367592,281.6838095188141
227,0.3396138,282.3722903728485
228,0.34036744,283.0555169582367
229,0.33481276,283.7375679016113
230,0.3319763,285.093994140625
231,0.33232057,285.78259778022766
232,0.3305813,286.4661726951599
233,0.33303893,287.1500277519226
234,0.3415407,287.84268975257874
235,0.27019596,288.52730226516724
236,0.34550202,289.2102541923523
237,0.34219146,289.8967888355255
238,0.34426057,290.58108162879944
239,0.34378052,291.2643566131592
240,0.34510696,292.6245741844177
241,0.32395196,293.3084366321564
242,0.32369018,293.9928002357483
243,0.3264476,294.6815948486328
244,0.33584344,295.3644073009491
245,0.333629,296.0474419593811
246,0.33551538,296.7300088405609
247,0.33951223,297.4153115749359
248,0.34443963,298.102144241333
249,0.3415929,298.78392148017883
250,0.347036,300.1463027000427
251,0.30586815,300.8518373966217
252,0.30243182,301.5407636165619
253,0.29905558,302.2271020412445
254,0.29266,302.91002559661865
255,0.28612387,303.6034851074219
256,0.28951752,304.2869336605072
257,0.28082228,304.97238302230835
258,0.2769053,305.6540608406067
259,0.26584435,306.33664107322693
260,0.2678213,307.7084217071533
261,0.24272907,308.393830537796
262,0.2430929,309.0774576663971
263,0.25719392,309.7612066268921
264,0.2733754,310.4450101852417
265,0.27083313,311.13978910446167
266,0.28200018,311.83479714393616
267,0.29166424,312.52115178108215
268,0.2940222,313.2101330757141
269,0.29699636,313.89710569381714
270,0.30634522,315.26463317871094
271,0.21589112,315.95013999938965
272,0.2979554,316.6402380466461
273,0.30764115,317.33150243759155
274,0.31405497,318.0171523094177
275,0.31802976,318.7006866931915
276,0.30826747,319.3838143348694
277,0.31013584,320.0688395500183
278,0.3073845,320.7503526210785
279,0.3036592,321.4323115348816
280,0.30515796,322.79263854026794
281,0.28490365,323.47800970077515
282,0.2843337,324.16296339035034
283,0.28214306,324.84713411331177
284,0.2786584,325.5301260948181
285,0.2724551,326.21614027023315
286,0.2713678,326.9029939174652
287,0.2686203,327.588586807251
288,0.276465,328.2759940624237
289,0.27787888,328.96544313430786
290,0.28054202,330.32868456840515
291,0.27571964,331.01446175575256
292,0.27449775,331.70006346702576
293,0.27462953,332.3961203098297
294,0.26776803,333.07841396331787
295,0.26889426,333.7611713409424
296,0.27273297,334.44899582862854
297,0.2693571,335.1324954032898
298,0.2696035,335.82769107818604
299,0.2726755,336.51230931282043
300,0.27271557,337.8698077201843
301,0.26269293,338.5711658000946
302,0.26504314,339.26204681396484
303,0.25721014,339.94444465637207
304,0.2575475,340.632449388504
305,0.2557068,341.3173451423645
306,0.25642025,341.9993040561676
307,0.25780475,342.6840581893921
308,0.25044656,343.37324047088623
309,0.23931324,344.0637276172638
310,0.23060238,345.44613337516785
311,0.23177505,346.1297335624695
312,0.22508311,346.81975173950195
313,0.22496414,347.50762605667114
314,0.22155511,348.18928623199463
315,0.22846103,348.879656791687
316,0.22150075,349.56228852272034
317,0.21498275,350.2434675693512
318,0.2129767,350.9252784252167
319,0.18931985,351.6108338832855
320,0.18637288,352.9729595184326
321,0.1768831,353.6572337150574
322,0.18891859,354.3426420688629
323,0.18695378,355.0252356529236
324,0.18344879,355.7102177143097
325,0.17387307,356.3928499221802
326,0.14376521,357.08170533180237
327,0.14330626,357.7638273239136
328,0.1406858,358.4465129375458
329,0.07922685,359.1275792121887
330,0.14893997,360.48638105392456
331,0.1450119,361.1779227256775
332,0.14498961,361.8611478805542
333,0.15391517,362.5517027378082
334,0.15326214,363.2348749637604
335,0.15580606,363.9170536994934
336,0.15741217,364.6149744987488
337,0.16300398,365.3072900772095
338,0.17535311,365.98913860321045
339,0.17478067,366.67886900901794
340,0.16825348,368.04685044288635
