Lambda,Average Penalty,Standard Deviation,Average Reward
2,-0.017057365,0.0074351365,-4.88562502139248
3,-0.015108734,0.006341619,-6.018643841904122
4,-0.011669556,0.0055880337,-7.666198744252324
