Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.0658846859607174,0.001044646926718,
0.1,-0.0436204921697593,0.0035394265080449,116.69040899276732
0.2,-0.0424028052543732,0.0038638350262502,114.64006842374802
0.3,-0.0386333308370792,0.0011745985425795,113.21115436553956
0.4,-0.0381237333444919,0.0022321461493446,111.33558142185213
0.5,-0.0244587405499611,0.0013225311453204,
0.6,-0.0258540648760876,0.0020711195159454,110.3216166138649
0.7,-0.0264213420062857,0.000934631567579,109.38658571243286
0.8,-0.0260098640674359,0.0015338717195986,108.1329701423645
0.9,-0.0245426991317746,0.0005224852727452,107.3962039589882
1.0,-0.0274181375085664,0.0018116345127756,
