Lambda,Average Penalty,Penalty StdDev,Average Reward
2,-0.017156947,0.00017703335,-4.921924736457877
3,-0.014941791,0.00016523537,-6.087809828920291
4,-0.011206718,0.00018636344,-7.4038868613354865
