Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06550241776528096,0.00032895226598778684,115.69708076596262
0.1,-0.04378197461477319,0.0032083674380989366,-60.922216939926145
0.2,-0.04146424077460141,0.002865823488310822,-22.10531002998352
0.3,-0.03998510916287392,0.002621150503226207,24.551357481479645
0.4,-0.03574369014266861,0.0027264581735685516,3.1218634998798365
0.5,-0.02858251323601242,0.003495380621252973,103.36443667650224
0.6,-0.02754934635768791,0.003861144646631443,94.2350056886673
0.7,-0.027209930030978026,0.004074238100938429,93.0852815246582
0.8,-0.026873340310677268,0.004074114061096315,99.96274281740189
0.9,-0.026797508531588753,0.003802920819148896,78.7435585653782
1.0,-0.02845249362756206,0.0017432714037879118,104.97647987961768
