Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06583377699532704,0.0007332031449184753,119.9264327287674
0.1,-0.044236830768997676,0.0008118962493748234,-64.57648217082024
0.2,-0.04246202524131437,0.0012580090506569394,-26.03809272646904
0.3,-0.040477523310052374,0.0011305519442992703,12.909891325235368
0.4,-0.036115248772450044,0.0013049562322788432,111.66004505753517
0.5,-0.025170057414971008,0.0028738726557096823,111.05022734999656
0.6,-0.023493370478161534,0.0014479020039803246,110.5504224896431
0.7,-0.0229080438371274,0.001413662844515021,109.74450796246529
0.8,-0.023160596850161284,0.0014300273234700968,108.79272805452347
0.9,-0.02334173546223869,0.0012739845583928284,107.79619770050049
1.0,-0.025342308686128114,0.0013627291400057989,105.88069700598717
