Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06628592224911103,0.0007054013666147262,119.71555549701054
0.1,-0.0440525245478161,0.003009280663832731,-31.193869717915852
0.2,-0.04137015886729802,0.002759038216535628,-32.90017430782318
0.3,-0.0402704062425009,0.0029439047752636,5.894101905822756
0.4,-0.036225822139453454,0.002952890434783735,4.515760660171506
0.5,-0.02873144545463426,0.003999731618754789,98.10802256266275
0.6,-0.027500520459792187,0.0038952783753842275,96.66297540664674
0.7,-0.02666367484289926,0.004303730248263442,95.63756606181462
0.8,-0.026372642681195473,0.004152743634894739,108.12495094537735
0.9,-0.02750340187647115,0.0039884809409000644,93.19807795683542
1.0,-0.02856161900702252,0.001825432643747986,104.93405829668045
