Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06592494826012021,0.0009586976124268195,119.30835206508637
0.1,-0.037370793933855104,0.0010509812595188306,-86.73552033305168
0.2,-0.03632439766516026,0.0007808808908221644,-87.46543107032775
0.3,-0.03508221902868204,0.001134073935089348,-88.22267764210702
0.4,-0.03465137504121878,0.0008828201541261091,-89.09762797355651
0.5,-0.03299397025464047,0.0013952259082600246,90.76471936106682
0.6,-0.032711187268687436,0.0008235459997381605,109.80742993354798
0.7,-0.0316928399362249,0.001166764010116517,108.518270945549
0.8,-0.031022949197857308,0.001201959400214947,106.96145122647286
0.9,-0.03140111631098631,0.0013822809308791683,85.64435033202172
1.0,-0.030246706455130473,0.0015023676729197758,104.4724525988102
