Lambda,Average Penalty,Penalty StdDev,Average Reward
2,-0.01708978,0.002672084,-6.497585315117612
3,-0.016736062,0.0044591385,-8.145749740477186
4,-0.01709422,0.004813081,-9.481080862134695
