Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06515688478136084,0.0008781280401691194,119.41556527614594
0.1,-0.039314622588002314,0.00119325153969675,-86.88120248317719
0.2,-0.03257644450116307,0.0012061322139376373,-26.11587725877762
0.3,-0.0317072639898579,0.0014584211580442028,-47.078868210315704
0.4,-0.03059233257296697,0.0010332630783199525,-8.222503328323365
0.5,-0.027033358057560724,0.001631851079602733,111.18785831332207
0.6,-0.0281270934379239,0.001000119908299489,110.36894173622132
0.7,-0.02818198473101239,0.001390269576413859,88.8764339029789
0.8,-0.02800521548159734,0.0016663855221020958,87.43511415123939
0.9,-0.027581455412499317,0.001657809213635253,106.60619569420814
1.0,-0.028597702464152202,0.0015298475198981247,104.77946725487709
