Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06565610534161843,0.0009712681502399216,119.27847543358803
0.1,-0.04289891642358382,0.0010041464978869346,-85.81592642068863
0.2,-0.034380731086568944,0.0011544344041364432,13.82840147614479
0.3,-0.03415488240012353,0.0009868314295956545,53.50940575003624
0.4,-0.03123668745266464,0.001170089104117907,112.50995702147483
0.5,-0.027302398326952672,0.0011957533288216532,111.22564206123351
0.6,-0.02816034149429677,0.0013336227102323129,110.34694415926933
0.7,-0.026805726684426823,0.0011770341264646716,109.10570981502534
0.8,-0.02678731546700308,0.0015240049547816101,107.96834307312966
0.9,-0.027370185121621315,0.002008019233919585,106.76329766511917
1.0,-0.02819309992632642,0.001425053652334125,104.92100484371186
