Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06613241259812816,0.00035630293461690456,111.50732146024704
0.1,-0.038492352004362115,0.0012924393645494692,-86.41505793333053
0.2,-0.0354174673768816,0.0016858220385561934,-83.45982700109481
0.3,-0.032818964820611314,0.0017042431442696575,-56.187281961441045
0.4,-0.030680724599465255,0.0020485479199293857,15.533848891258241
0.5,-0.028560810073910647,0.0013667938566240799,66.96914989113807
0.6,-0.028063323891137432,0.0014412193021396613,61.69530220389366
0.7,-0.027583529168880655,0.0016190995440081013,60.49776286959648
0.8,-0.02815159835168714,0.0011992333731479046,67.29035339355468
0.9,-0.027961038633926794,0.0012167608553688215,65.96735309481622
1.0,-0.029088532058702037,0.0007162195153500631,88.42479022026062
