Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06598908020760934,0.0006290185806890524,119.63057595888775
0.1,-0.03845414413888098,0.0015145125693356734,-86.05910255908967
0.2,-0.03521437716642041,0.0017986593876735619,-87.52866077025732
0.3,-0.03321758420053185,0.0020873348826003376,-47.98790909846624
0.4,-0.031203904979714148,0.0018382515245698072,4.838183104991913
0.5,-0.028065537003455637,0.0014474192113667292,70.8913622657458
0.6,-0.02787954737301459,0.002010269604734899,69.85779767433802
0.7,-0.02742819474916609,0.0015693221461476187,41.90882707834244
0.8,-0.027496247330765333,0.0013220137673510646,67.39551646709442
0.9,-0.028582571948031786,0.0015116925011656064,65.82260968685151
1.0,-0.02816044382690262,0.0010855233028052792,64.6025796373685
