Lambda,Average Penalty,Standard Deviation,Average Reward
1,-0.019214816,0.006191031,-4.372702800284605
2,-0.011867099,0.0069263377,-4.285321480757557
3,-0.011109003,0.004100364,-5.356646089022979
4,-0.006939667,0.0042310157,-6.319361054850742
5,-0.011355503,0.006197484,-8.988339256308972
