Lambda,Average Penalty,Penalty StdDev,Average Reward
1,-0.01812786,0.0017497225,-4.235096235019155
2,-0.016595082,0.0025830783,-5.59899233533768
3,-0.013431646,0.0014215033,-6.15336372756632
4,-0.009368865,0.0017544702,-6.631209132031072
5,-0.010343211,0.0013210586,-8.839611547347157
