Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06553536016282027,0.0010729951212370206,120.0044017136097
0.1,-0.04142199669567596,0.0011818046035847092,-86.4009096801281
0.2,-0.03927619465525651,0.0012489003526581467,-88.10087561011315
0.3,-0.03780664832342263,0.0011016860393326371,-89.35584652423859
0.4,-0.034920185978743065,0.0019071110037948051,-90.51649029254914
0.5,-0.02788264662226072,0.0013648684720567465,31.180951154232027
0.6,-0.027864344521490315,0.0010040187328974066,70.26444009542465
0.7,-0.027421857871439685,0.001518478100707197,89.11693127155304
0.8,-0.027911033367076343,0.001447518537022716,107.91385086774827
0.9,-0.027684460971732428,0.0010828800770884015,6.021462589502335
1.0,-0.027316337442735632,0.0017078610806674117,-15.964785361289978
