Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06588337589032005,0.00022004874046172373,119.73140564441681
0.1,-0.040573713711999616,0.002204202255567819,-81.95769557714462
0.2,-0.03930686576466143,0.0016751841714389547,-75.49976462483406
0.3,-0.03878164236336355,0.0012552725862094516,-60.587399432659154
0.4,-0.03557643381207089,0.0031661401544118835,-37.825425740480426
0.5,-0.02750348943073048,0.0013960122660348685,71.30496020674705
0.6,-0.026778274565543676,0.0015617164135849843,102.39314321994782
0.7,-0.02608431029392842,0.0020880508177714033,105.31743161797522
0.8,-0.0259341431780069,0.002322391814908981,100.11798637747764
0.9,-0.02578064321563715,0.0025387111578099677,78.88998063325883
1.0,-0.02707508919174682,0.0014356333053696323,77.11812516331673
