iter,ot_cost,elapsed_time
0,8.44116,40.96682953834534
1,-662.0483,57.02278184890747
2,10.464693,57.71524786949158
3,10.728944,58.416884422302246
4,10.934598,59.099799394607544
5,10.980932,59.79799294471741
6,11.276749,60.487354040145874
7,11.568754,61.17854857444763
8,11.71873,61.866344928741455
9,11.794091,62.5669310092926
10,11.607137,91.18951106071472
11,11.096468,91.88958716392517
12,10.727699,92.57696795463562
13,10.626783,93.27093482017517
14,10.01296,93.96086859703064
15,9.286533,94.64786052703857
16,8.552603,95.33465838432312
17,5.9300685,96.0258059501648
18,3.276569,96.70957088470459
19,-0.3268075,97.40154910087585
20,-0.44140196,125.14543008804321
21,-3.091403,125.83895468711853
22,-3.7390423,126.52492070198059
23,-5.8353925,127.21157765388489
24,-6.806182,127.8990204334259
25,-8.12717,128.59990429878235
26,-8.7279625,129.2858850955963
27,-16.53478,129.98081421852112
28,-10.187759,130.68375253677368
29,-10.506582,131.38163375854492
30,-9.745171,132.7509355545044
31,-10.8964615,133.4481017589569
32,-12.110519,134.13356566429138
33,-10.303238,134.81769275665283
34,-11.597201,135.50415635108948
35,-10.866581,136.187726020813
36,-9.639454,136.8774812221527
37,-9.943221,137.57428336143494
38,-9.664988,138.26101875305176
39,-9.857065,138.9458863735199
40,-9.90942,140.3129370212555
41,-11.280731,141.00823163986206
42,-9.915422,141.69946098327637
43,-10.056756,142.3907127380371
44,-9.685066,143.07829070091248
45,-9.253872,143.76309847831726
46,-7.8395243,144.45436549186707
47,-9.022471,145.13881611824036
48,-7.4076653,145.8240327835083
49,-7.384589,146.508455991745
50,-7.0716166,147.8726625442505
51,-8.831143,148.58760833740234
52,-8.297773,149.28762769699097
53,-8.560646,149.97506475448608
54,-7.36184,150.66367721557617
55,-6.7632065,151.37452673912048
56,-6.0106397,152.07589435577393
57,-5.771304,152.76791977882385
58,-5.504947,153.45409059524536
59,-5.526972,154.1452522277832
60,-4.8485003,155.52796721458435
61,-4.4180493,156.21591782569885
62,-4.217652,156.9031012058258
63,-3.9873533,157.59008836746216
64,-3.7740393,158.27785992622375
65,-45.00545,158.98559379577637
66,-3.5721536,159.6868543624878
67,-3.503479,160.3801736831665
68,-3.4381418,161.068199634552
69,-3.36674,161.76472091674805
70,-3.2382915,163.1435785293579
71,-3.3634214,163.83739590644836
72,-3.239803,164.53449845314026
73,-3.1972914,165.22977137565613
74,-3.0862296,165.92642736434937
75,-2.773418,166.61943292617798
76,-2.8421752,167.31328010559082
77,-2.5561843,168.0146872997284
78,-2.3358376,168.70097732543945
79,-2.1508236,169.38807487487793
80,-2.0619721,170.75217723846436
81,-1.8834032,171.4464554786682
82,-1.7415915,172.13177490234375
83,-1.6516991,172.82485675811768
84,-1.689059,173.50932383537292
85,-1.5888546,174.19902968406677
86,-1.5002556,174.88336181640625
87,-1.376126,175.56642293930054
88,-1.247383,176.25020790100098
89,-1.1424323,176.93310713768005
90,-1.0044229,178.29198741912842
91,-0.9196403,178.97716903686523
92,-0.73053366,179.66288423538208
93,-0.6616861,180.3532042503357
94,-0.5747971,181.0371482372284
95,-0.5343685,181.72490739822388
96,-0.49524796,182.4317352771759
97,-0.40729153,183.1364710330963
98,-0.3474475,183.82364559173584
99,-0.31871414,184.51375126838684
100,-0.2972551,185.88390588760376
101,-0.2969252,186.5839490890503
102,-0.29227352,187.2718493938446
