Lambda,Average Penalty,Standard Deviation,Average Reward
0.1,-0.05192975997924805,0.0,116.46474879980087
0.2,-0.04755014330148697,0.0,-85.8711149096489
0.3,-0.04113963781258999,0.0,-87.88918054103851
0.4,-0.04138946533203125,0.0,-88.86697524785995
0.6,-0.043588760495185855,0.0,-93.65800774097443
0.7,-0.04224191308021545,0.0,-95.61891442537308
0.8,-0.04112127565202259,0.0,104.44880175590515
0.9,-0.03804570436477661,0.0,-97.29420578479767
