iter,ot_cost,elapsed_time
0,-0.05525971,73.88821649551392
1,-0.068200976,82.73283457756042
2,-0.08213501,91.60806703567505
3,-0.097958416,100.45939493179321
4,-0.07898629,109.25529837608337
5,-0.05485469,117.97584342956543
6,-0.07411723,126.89033460617065
7,-0.05553405,135.71206259727478
8,-0.043524742,144.55913615226746
9,-0.026022423,153.50383830070496
10,-0.0072704256,171.28610754013062
11,-0.004329756,180.20343232154846
12,0.008661108,189.1745662689209
13,0.027467962,197.90042424201965
14,0.04479417,206.66980361938477
15,0.062931076,215.4448447227478
16,0.069895774,224.291344165802
17,0.08737333,233.13401198387146
18,0.10637698,241.8739960193634
19,0.11521728,250.6594579219818
20,0.13314833,268.4667263031006
21,0.14800036,277.3082673549652
22,0.16450667,286.224240064621
23,0.1789241,294.9141104221344
24,0.18869855,303.5445303916931
25,0.2072353,312.37134742736816
26,0.22151168,321.0370900630951
27,0.24061908,329.75729489326477
28,0.25434083,338.68502163887024
29,0.27057752,347.62309432029724
30,0.2902739,365.22656631469727
31,0.30452245,374.00490736961365
32,0.321648,382.91162753105164
33,0.3345739,391.6934494972229
34,0.3489346,400.32012963294983
35,0.36464345,409.0417685508728
36,0.37562102,417.7900187969208
37,0.3852064,426.39113664627075
38,0.395041,435.23723554611206
39,0.40649402,444.0254592895508
40,0.41922337,461.68433475494385
41,0.41984022,470.5484802722931
42,0.42724204,479.37492537498474
43,0.42118385,488.1316637992859
44,0.43761116,497.0198061466217
45,0.44205385,505.8526728153229
46,0.4463609,514.5149395465851
47,0.4494149,523.369416475296
48,0.46719462,532.0253345966339
49,0.48003286,540.6434478759766
50,0.4810534,558.0998454093933
51,0.47203642,567.2635884284973
52,0.4714951,576.4592089653015
53,0.44204783,585.3942153453827
54,0.4605106,594.0779356956482
55,0.46018812,602.8939778804779
56,0.4475023,611.6219663619995
57,0.45292366,620.4612362384796
58,0.45714226,629.2224130630493
59,0.45888856,637.9069967269897
60,0.4522404,655.3997416496277
61,0.42514202,664.1055889129639
62,0.4497918,672.8902695178986
63,0.44706964,681.644688129425
64,0.46463865,690.5479075908661
65,0.4433859,699.3000762462616
66,0.4653852,708.1129066944122
67,0.45264623,716.8564538955688
68,0.4446739,725.6236386299133
69,0.44695008,734.3596334457397
70,0.45166487,751.8976137638092
71,0.3932042,760.603711605072
72,0.40589747,769.4998216629028
73,0.40593696,778.3378655910492
74,0.3962035,787.1024904251099
75,0.3885433,795.8309199810028
76,0.38247547,804.6364281177521
77,0.3923399,813.282998085022
78,0.38497514,822.2318985462189
79,0.3856436,831.1258008480072
80,0.38493297,848.9273262023926
81,0.3617779,857.9015657901764
82,0.36967227,866.6906147003174
83,0.36467656,875.556914806366
84,0.36937737,884.3972990512848
85,0.3665214,893.0617649555206
86,0.36834916,901.9305052757263
87,0.36631614,910.576872587204
88,0.36457047,919.2488369941711
89,0.37765524,927.8198366165161
90,0.3689824,945.0395200252533
91,0.37565625,953.6917424201965
92,0.38580543,962.3568112850189
93,0.39869112,971.0236504077911
94,0.3968323,979.690994977951
95,0.39751634,988.2191512584686
96,0.37709415,996.900039434433
97,0.37068376,1005.5240867137909
98,0.36931556,1014.1904973983765
99,0.3728529,1023.0150723457336
100,0.3755712,1040.3408074378967
101,0.35756648,1048.993735074997
102,0.35848105,1057.7794380187988
103,0.36167973,1066.5113217830658
104,0.36338705,1075.1713116168976
105,0.36843166,1083.6387000083923
106,0.3676827,1092.1296615600586
107,0.37189412,1100.5714597702026
108,0.37334245,1109.0704400539398
109,0.37920538,1117.5618970394135
110,0.38019705,1134.9361882209778
111,0.35320726,1143.4918599128723
112,0.35996515,1151.646484375
113,0.3587453,1159.8255815505981
114,0.36564067,1168.205715894699
115,0.3713206,1176.4756634235382
116,0.3723019,1184.8450498580933
117,0.37529466,1193.253814458847
118,0.37638408,1201.4600870609283
119,0.3796485,1209.6859743595123
120,0.38083407,1226.4222784042358
121,0.3542016,1234.7142193317413
122,0.3546242,1243.1721587181091
123,0.35784388,1251.535814523697
124,0.3593461,1259.820788860321
125,0.36113536,1267.9866185188293
126,0.36414602,1276.3760833740234
127,0.36578268,1284.7128298282623
128,0.36778113,1292.9714407920837
129,0.36877847,1301.2365462779999
130,0.3690463,1317.9665410518646
131,0.35053003,1326.1266713142395
132,0.3483084,1334.2651586532593
133,0.34851345,1342.1593906879425
134,0.34769148,1350.2340114116669
135,0.34749582,1358.5937914848328
136,0.34141275,1366.744472503662
137,0.3408499,1375.080427646637
138,0.34317264,1383.3242664337158
139,0.34644657,1391.4598610401154
140,0.3507195,1407.5749237537384
141,0.34115547,1415.7564113140106
142,0.33553442,1424.0293056964874
