Lambda,Average Penalty,Standard Deviation,Average Reward
2,-0.012621713,0.0017400249,-3.9230043770279734
3,-0.01239224,0.0058022197,-7.427117069810629
4,-0.007241403,0.0033442487,-5.047729202080518
