Lambda,Average Penalty,Standard Deviation,Average Reward
0.1,-0.04660348296165466,0.0,118.02082349359989
0.2,-0.04806823351166465,0.0,120.01668182015419
0.3,-0.044304247309521934,0.0,118.3407622911036
0.4,-0.04972471885902937,0.0,119.13962990045547
0.6,-0.051279039486594825,0.0,119.45000401698053
0.7,-0.05015387224114459,0.0,119.56793701276183
0.8,-0.04732001105020212,0.0,118.63890631496906
0.9,-0.04279951122072008,0.0,119.02466228604317
