Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06574408624210919,0.0003887452000362581,119.73010947704313
0.1,-0.03888984187585391,0.0022290863559013014,-79.52940212686856
0.2,-0.03568265674467963,0.001878711888284361,-87.28739205400149
0.3,-0.03340434769124993,0.0023254732130403325,-61.22172648509344
0.4,-0.03155281520199229,0.002463094118062696,11.928815448284142
0.5,-0.02849348961909646,0.0035103140116660614,97.92082978685697
0.6,-0.028346815587470393,0.0030174357733425096,90.15684798558553
0.7,-0.028655755340414885,0.0028968673456265335,102.24974293112754
0.8,-0.028354934527503223,0.002968074161453744,100.90646581451098
0.9,-0.028921607275371474,0.0026487244619320368,106.00962844491005
1.0,-0.02937561826871387,0.0026749608852366553,104.5562010327975
