Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.0658261316229705,0.0009479333358885329,119.54891430139541
0.1,-0.03820734764014034,0.001256530425059183,-86.41830250024796
0.2,-0.03411015006137895,0.0011369736170852918,-87.43829696178436
0.3,-0.032451671644620504,0.001521509566880776,-27.7428835272789
0.4,-0.03143548750153918,0.001044107847465251,52.114287209510806
0.5,-0.028231815570485503,0.0011398731313557872,111.36259896755219
0.6,-0.0271667084745709,0.002035126362427572,110.21370372772216
0.7,-0.02713791084090129,0.0010550203456579973,109.12228364944458
0.8,-0.02712462839166484,0.0015445071513784702,107.74746936559677
0.9,-0.02811411287717387,0.0017180156037121773,106.21893936991691
1.0,-0.02782025861865786,0.0017282151652327094,105.2876792371273
