Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06611495581977471,0.00021154389458487603,119.6429211127758
0.1,-0.041733768522312,0.0032086547804615535,-73.41734795093537
0.2,-0.039363150233830455,0.002163606082798748,-54.79473413228989
0.3,-0.03837217214407222,0.0014030641849608085,-24.087515116930007
0.4,-0.03658564571386271,0.002316399802511824,26.8174578821659
0.5,-0.027020666143096117,0.002993476232942725,103.39045920252799
0.6,-0.02641071369066738,0.0025880801611812827,110.411405441761
0.7,-0.02616508038732282,0.002651815347223987,109.33931621074676
0.8,-0.026062720041340248,0.002816294888778714,108.18313649058341
0.9,-0.026699310056193713,0.0021967371800289243,106.8295951807499
1.0,-0.02852671986939024,0.0012095747341762974,104.85129149913787
