Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06643769843595877,0.0007058598166857127,119.87097574472428
0.1,-0.04388532499315772,0.0010411688395913562,-85.4422928929329
0.2,-0.040567341530249545,0.00093108336377524,-87.40737197995186
0.3,-0.039040847698990216,0.0012868112170593036,-88.80408331155778
0.4,-0.03857123576815449,0.0013985898804415539,-70.06928728222847
0.5,-0.032512241427456956,0.0014853919883186081,71.04631969928741
0.6,-0.03148009181594264,0.0007655332808453965,109.71977737545967
0.7,-0.031236249556930634,0.0012725622594176246,108.58253546357155
0.8,-0.03158529135429498,0.0013074257133163238,107.13906640410423
0.9,-0.030447128050286106,0.0013978875383772696,105.88557323217393
1.0,-0.029397796876099495,0.000971192237321245,104.73765374422074
