Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.0655062094754284,0.0005042727647560013,119.5447264989217
0.1,-0.04111823811954311,0.003057515574523781,-72.21889034112294
0.2,-0.03939442904838158,0.002047180190003619,-46.99080487887064
0.3,-0.03851770078287826,0.0014309611116075597,-48.05520449082057
0.4,-0.03705521725860471,0.0012280510618580052,3.82368189493815
0.5,-0.027363686415172384,0.003080448509942539,111.42458072106044
0.6,-0.026295155738576288,0.002678777800231453,110.33923467795054
0.7,-0.026202609200219013,0.002166096151246437,109.35707929929099
0.8,-0.027167179446717378,0.0028575109322572434,108.12596000035603
0.9,-0.026351214041165538,0.0025100981761032423,107.04822491010029
1.0,-0.028607062137473938,0.00048168553292511754,104.84647568861644
