Lambda,Average Penalty,Penalty StdDev,Average Reward
1,-0.016652897,0.0020694453,-3.8641188713081647
2,-0.012219699,0.0019462002,-4.9537030770219275
3,-0.011428244,0.0015394991,-7.271313689998351
4,-0.0098684775,0.0013743493,-7.4365275939740245
5,-0.014564401,0.0063361903,-9.903211963623761
