Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06624120189783697,0.0011813725140938929,119.8561762392521
0.1,-0.03946984332603019,0.0009451415810594304,-86.78514523506165
0.2,-0.034588381592170724,0.0013718548848200942,94.69281740784645
0.3,-0.03298287034445614,0.0012548235779493468,113.53118947744369
0.4,-0.030974589173009465,0.0010693833450287958,112.37247840762139
0.5,-0.027991306579062743,0.0014383204089367997,111.36235232353211
0.6,-0.026933090990911228,0.0014582352094969762,110.15269966125489
0.7,-0.027371507470238803,0.0016012676647622426,109.04907744526864
0.8,-0.02795356474433532,0.0015186229805020121,107.59605345726013
0.9,-0.027216173062946804,0.0014602373918396138,106.63231700658798
1.0,-0.02809905092996402,0.0015874874929706442,104.94932693839073
