Lambda,Average Penalty,Standard Deviation,Average Reward
2,-0.017076556,0.0076116463,-4.9007728070951995
3,-0.0149757285,0.0067053055,-5.966468015499413
4,-0.011282526,0.0045528472,-7.2673893347382545
