Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06604176899898824,0.0002785015965424834,111.50207223534585
0.1,-0.04109647974859025,0.0016065874842287528,-86.1595650434494
0.2,-0.03420707371177906,0.0016784614850473198,-5.590469089746475
0.3,-0.033242841282048775,0.0015963792479988896,85.42720986008644
0.4,-0.031201018480991376,0.0016417550375451742,68.19872048377991
0.5,-0.028758774274542702,0.0018556648254464427,107.40588570475578
0.6,-0.028157166720920945,0.0014801519020658108,110.21060478806496
0.7,-0.02805797936633232,0.0008951622843337332,104.84167600631716
0.8,-0.027845805061522965,0.0007623362236107905,103.67886852502822
0.9,-0.028084914781030628,0.0008737315913910606,106.46432186961174
1.0,-0.029066274856351167,0.000513883032182384,104.77325834035874
