Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06556354012600212,0.0,120.24336212873459
0.1,-0.039196198051040236,0.0,-86.2672228217125
0.2,-0.03337391324945398,0.0,-87.31274783611298
0.3,-0.035590891540050504,0.0,113.43347495794296
0.4,-0.030378681421279908,0.0,112.11988586187363
0.5,-0.027661417424678803,0.0,111.139435172081
0.6,-0.026824811170267505,0.0,111.22742074728012
0.7,-0.027062296867370605,0.0,109.20115745067596
0.8,-0.02423627407122881,0.0,108.75458705425262
0.9,-0.02804606258869171,0.0,106.8319541811943
1.0,-0.027638265719780557,0.0,105.02320873737335
