Lambda,Average Penalty,Penalty StdDev,Average Reward
0.0,-0.06582103783439978,0.0010402590955750919,119.58148212432862
0.1,-0.03954170618103394,0.002867990053344993,-86.01916797161103
0.2,-0.035342425031648424,0.002882302903098451,-87.25107470154762
0.3,-0.034131316505184105,0.002381429442802737,-27.350615900754928
0.4,-0.0318368140096111,0.0027859866691481057,11.913997286558152
0.5,-0.02888965396679797,0.0038327107502445497,91.13147317767144
0.6,-0.029306140490217132,0.0029128286298334095,70.0657684981823
0.7,-0.028018155463675254,0.003635835715337245,108.99478162527085
0.8,-0.028237710340314203,0.0032498300375242784,107.71713211536408
0.9,-0.028511079103361387,0.0028848609956218713,86.28007676005363
1.0,-0.02952671269175392,0.002837428138572511,104.40734683275222
