Lambda,Average Penalty,Standard Deviation,Average Reward
0.0,-0.06789594292640685,0.0,118.87472492456436
0.1,-0.04130163788795471,0.0,-84.03686100244522
0.2,-0.034995789463455614,0.0,-87.5343286395073
0.3,-0.03394560813903809,0.0,113.56392574310303
0.4,-0.033123635968496636,0.0,-87.53417766094208
0.5,-0.024714790284633636,0.0,111.71959608793259
0.6,-0.02764995740010188,0.0,109.65465927124023
0.7,-0.025968997180461882,0.0,109.47731232643127
0.8,-0.02701237201690674,0.0,108.17691677808762
0.9,-0.02827957421541214,0.0,106.5023295879364
1.0,-0.02767048126611954,0.0,104.86614745855331
