Lambda,Average Penalty,Standard Deviation,Average Reward
0.1,-0.04470120448815195,0.0,-85.27137959003448
0.2,-0.04423106500976964,0.0,-87.64490938186646
0.3,-0.03952406644821167,0.0,-90.08481389284134
0.4,-0.036159938031976875,0.0,-91.94491970539093
0.6,-0.03323182972466073,0.0,108.8573328256607
0.7,-0.03307494739206826,0.0,107.70393979549408
0.8,-0.031208541989326478,0.0,106.60062593221664
0.9,-0.03051229566335678,0.0,105.50674617290497
